title,artist,genre,
"Hey, Soul Sister",Train,neo mellow,
Love The Way You Lie,Eminem,hip hop,
TiK ToK,Kesha,pop,
Bad Romance,Lady Gaga,pop,
Just the Way You Are,Bruno Mars,pop,
Baby,Justin Bieber,pop,
Dynamite,Taio Cruz,pop,
Secrets,OneRepublic,pop,
Empire State of Mind (Part II) Broken Down,Alicia Keys,pop,
Only Girl (In The World),Rihanna,pop,
Club Can't Handle Me (feat. David Guetta),Flo Rida,pop,
Marry You,Bruno Mars,pop,
Cooler Than Me - Single Mix,Mike Posner,pop,
Telephone,Lady Gaga,pop,
Like A G6,Far East Movement,pop,
OMG (feat. will.i.am),Usher,hip hop,
Eenie Meenie,Sean Kingston,pop,
The Time (Dirty Bit),The Black Eyed Peas,pop,
Alejandro,Lady Gaga,pop,
Your Love Is My Drug,Kesha,pop,
Meet Me Halfway,The Black Eyed Peas,pop,
Whataya Want from Me,Adam Lambert,pop,
Take It Off,Kesha,pop,
Misery,Maroon 5,pop,
All The Right Moves,OneRepublic,pop,
Animal,Neon Trees,pop,
Naturally,Selena Gomez & The Scene,pop,
I Like It,Enrique Iglesias,pop,
Teenage Dream,Katy Perry,pop,
California Gurls,Katy Perry,pop,
3,Britney Spears,pop,
My First Kiss - feat. Ke$ha,3OH!3,pop,
Blah Blah Blah (feat. 3OH!3),Kesha,pop,
Imma Be,The Black Eyed Peas,pop,
Try Sleeping with a Broken Heart,Alicia Keys,pop,
Sexy Bitch (feat. Akon),David Guetta,pop,
Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,pop,
If I Had You,Adam Lambert,pop,
Rock That Body,The Black Eyed Peas,pop,
Dog Days Are Over,Florence + The Machine,pop,
Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,pop,
Doesn't Mean Anything,Alicia Keys,pop,
Hard,Rihanna,pop,
Loca,Shakira,pop,
You Lost Me,Christina Aguilera,pop,
Not Myself Tonight,Christina Aguilera,pop,
Written in the Stars (feat. Eric Turner),Tinie Tempah,pop,
DJ Got Us Fallin' In Love (feat. Pitbull),Usher,hip hop,
Castle Walls (feat. Christina Aguilera),T.I.,hip hop,
Break Your Heart,Taio Cruz,pop,
Hello,Martin Solveig,big room,
A Thousand Years,Christina Perri,pop,
Someone Like You,Adele,british soul,
Give Me Everything,Pitbull,pop,
Just the Way You Are,Bruno Mars,pop,
Rolling in the Deep,Adele,british soul,
Run the World (Girls),Beyoncé,pop,
Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,pop,
Love On Top,Beyoncé,pop,
Grenade,Bruno Mars,pop,
Tonight Tonight,Hot Chelle Rae,pop,
What the Hell,Avril Lavigne,pop,
Born This Way,Lady Gaga,pop,
Monster,Kanye West,other,
Marry You,Bruno Mars,pop,
Best Thing I Never Had,Beyoncé,pop,
Party Rock Anthem,LMFAO,pop,
We R Who We R,Kesha,pop,
Price Tag,Jessie J,pop,
Good Life,OneRepublic,pop,
Just Can’t Get Enough,The Black Eyed Peas,pop,
On The Floor,Jennifer Lopez,pop,
What's My Name?,Rihanna,pop,
Yeah 3x,Chris Brown,pop,
Without You (feat. Usher),David Guetta,pop,
Sexy And I Know It,LMFAO,pop,
The Edge Of Glory,Lady Gaga,pop,
E.T.,Katy Perry,pop,
Till the World Ends,Britney Spears,pop,
I Wanna Go,Britney Spears,pop,
Blow,Kesha,pop,
You And I,Lady Gaga,pop,
Judas,Lady Gaga,pop,
Tonight (I'm Fuckin' You),Enrique Iglesias,pop,
Please Don't Go,Mike Posner,pop,
We Found Love,Rihanna,pop,
Marry The Night,Lady Gaga,pop,
1+1,Beyoncé,pop,
Hold It Against Me,Britney Spears,pop,
I'm Into You,Jennifer Lopez,pop,
Papi,Jennifer Lopez,pop,
Cheers (Drink To That),Rihanna,pop,
S&M Remix,Rihanna,pop,
Written in the Stars (feat. Eric Turner),Tinie Tempah,pop,
Jar of Hearts,Christina Perri,pop,
Castle Walls (feat. Christina Aguilera),T.I.,hip hop,
Turning Page,Sleeping At Last,pop,
Super Bass,Nicki Minaj,pop,
Raise Your Glass,P!nk,pop,
Invading My Mind,Jennifer Lopez,pop,
Moment 4 Life - Album Version (Edited),Nicki Minaj,pop,
Last Friday Night (T.G.I.F.),Katy Perry,pop,
Firework,Katy Perry,pop,
Muny - Album Version (Edited),Nicki Minaj,pop,
Titanium (feat. Sia),David Guetta,pop,
Locked Out of Heaven,Bruno Mars,pop,
Paradise,Coldplay,permanent wave,
Payphone,Maroon 5,pop,
What Makes You Beautiful,One Direction,boy band,
I Knew You Were Trouble.,Taylor Swift,pop,
Call Me Maybe,Carly Rae Jepsen,pop,
Love You Like A Love Song,Selena Gomez & The Scene,pop,
Set Fire to the Rain,Adele,british soul,
We Are Never Ever Getting Back Together,Taylor Swift,pop,
Stronger (What Doesn't Kill You),Kelly Clarkson,pop,
